offer_path,cv_path,score
../scraping/offres\AI_and_ML\Neural Networks_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_1.txt,0.6
../scraping/offres\AI_and_ML\Neural Networks_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_14.txt,0.2
../scraping/offres\AI_and_ML\Neural Networks_job_1.txt,../scraping/cvs\others\others_cv_303.txt,0.1
../scraping/offres\AI_and_ML\PyTorch_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_52.txt,0.2
../scraping/offres\AI_and_ML\AI Researcher_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_93.txt,0.02
../scraping/offres\AI_and_ML\Neural Networks_job_1.txt,../scraping/cvs\others\others_cv_109.txt,0.12
../scraping/offres\AI_and_ML\PyTorch_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_11.txt,0.42
../scraping/offres\AI_and_ML\PyTorch_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_70.txt,0.2
../scraping/offres\AI_and_ML\PyTorch_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_23.txt,0.12
../scraping/offres\AI_and_ML\PyTorch_job_1.txt,../scraping/cvs\others\others_cv_303.txt,0.12
../scraping/offres\AI_and_ML\Reinforcement Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_64.txt,0.2
../scraping/offres\AI_and_ML\Reinforcement Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_20.txt,0.42
../scraping/offres\AI_and_ML\Reinforcement Learning_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_71.txt,0.12
../scraping/offres\AI_and_ML\Reinforcement Learning_job_1.txt,../scraping/cvs\others\others_cv_84.txt,0.01
../scraping/offres\AI_and_ML\Supervised Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_87.txt,0.05
../scraping/offres\AI_and_ML\Supervised Learning_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_32.txt,0.05
../scraping/offres\AI_and_ML\Supervised Learning_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_58.txt,0.05
../scraping/offres\AI_and_ML\Supervised Learning_job_1.txt,../scraping/cvs\Cybersecurity\Cybersecurity_cv_6.txt,0.05
../scraping/offres\AI_and_ML\Unsupervised Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_49.txt,0.42
../scraping/offres\AI_and_ML\Unsupervised Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_9.txt,0.25
../scraping/offres\Blockchain\Blockchain Architect_job_1.txt,../scraping/cvs\others\others_cv_117.txt,0.05
../scraping/offres\Blockchain\Blockchain Developer_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_37.txt,0.42
../scraping/offres\Blockchain\Blockchain Developer_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_28.txt,0.2
../scraping/offres\Blockchain\Blockchain Developer_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_80.txt,0.2
../scraping/offres\Blockchain\Blockchain Developer_job_1.txt,../scraping/cvs\others\others_cv_30.txt,0.05
../scraping/offres\Blockchain\Blockchain Developer_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_7.txt,0.42
../scraping/offres\Blockchain\Blockchain Solutions_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_26.txt,0.42
../scraping/offres\Blockchain\Blockchain Solutions_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_31.txt,0.42
../scraping/offres\Blockchain\Blockchain Solutions_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_47.txt,0.42
../scraping/offres\Blockchain\Blockchain Solutions_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_27.txt,0.2
../scraping/offres\Blockchain\Blockchain Solutions_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_119.txt,0.2
../scraping/offres\Blockchain\Blockchain_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_36.txt,0.42
../scraping/offres\Blockchain\Blockchain_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_10.txt,0.42
../scraping/offres\Blockchain\Blockchain_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_28.txt,0.2
../scraping/offres\Blockchain\Blockchain_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_50.txt,0.2
../scraping/offres\Blockchain\Cryptocurrency_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_20.txt,0.42
../scraping/offres\Blockchain\Cryptocurrency_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_32.txt,0.2
../scraping/offres\Blockchain\Cryptocurrency_job_1.txt,../scraping/cvs\Web_Development\Web_Development_cv_26.txt,0.05
../scraping/offres\Blockchain\Cryptocurrency_job_1.txt,../scraping/cvs\others\others_cv_314.txt,0.12
../scraping/offres\Blockchain\Cryptocurrency_job_1.txt,../scraping/cvs\others\others_cv_215.txt,0.05
../scraping/offres\Blockchain\Cryptography_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_24.txt,0.12
../scraping/offres\Blockchain\Cryptography_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_36.txt,0.2
../scraping/offres\Blockchain\Cryptography_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_266.txt,0.15
../scraping/offres\Blockchain\Cryptography_job_1.txt,../scraping/cvs\data_analysis\cv_da_8.txt,0.12
../scraping/offres\Blockchain\DeFi_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_7.txt,0.72
../scraping/offres\Blockchain\DeFi_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_20.txt,0.42
../scraping/offres\Blockchain\DeFi_job_1.txt,../scraping/cvs\others\others_cv_113.txt,0.2
../scraping/offres\Blockchain\Ethereum Developer_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_11.txt,0.42
../scraping/offres\Blockchain\Ethereum Developer_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_17.txt,0.82
../scraping/offres\Blockchain\Ethereum Developer_job_1.txt,../scraping/cvs\others\others_cv_11.txt,0.2
../scraping/offres\Blockchain\Ethereum Developer_job_1.txt,../scraping/cvs\others\others_cv_151.txt,0.2
../scraping/offres\Blockchain\Ethereum_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_29.txt,0.12
../scraping/offres\Blockchain\Ethereum_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_18.txt,0.15
../scraping/offres\Blockchain\Ethereum_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_230.txt,0.12
../scraping/offres\Blockchain\Ethereum_job_1.txt,../scraping/cvs\others\others_cv_34.txt,0.12
../scraping/offres\Blockchain\NFTs_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_4.txt,0.12
../scraping/offres\Blockchain\NFTs_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_26.txt,0.12
../scraping/offres\Blockchain\NFTs_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_8.txt,0.2
../scraping/offres\Blockchain\NFTs_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_301.txt,0.12
../scraping/offres\Blockchain\Smart Contracts_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_11.txt,0.42
../scraping/offres\Blockchain\Smart Contracts_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_88.txt,0.12
../scraping/offres\Cloud_Computing\Ansible_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_11.txt,0.12
../scraping/offres\Cloud_Computing\Ansible_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_13.txt,0.42
../scraping/offres\Cloud_Computing\Ansible_job_1.txt,../scraping/cvs\others\others_cv_40.txt,0.12
../scraping/offres\Cloud_Computing\Azure_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_37.txt,0.2
../scraping/offres\Cloud_Computing\Azure_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_145.txt,0.12
../scraping/offres\Cloud_Computing\Azure_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_39.txt,0.12
../scraping/offres\Cloud_Computing\CI CD_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_39.txt,0.2
../scraping/offres\Cloud_Computing\CI CD_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_179.txt,0.12
../scraping/offres\Cloud_Computing\Cloud Architecture_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_24.txt,0.23
../scraping/offres\Cloud_Computing\Cloud DevOps_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_23.txt,0.23
../scraping/offres\Cloud_Computing\Cloud DevOps_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_38.txt,0.42
../scraping/offres\Cloud_Computing\Cloud DevOps_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_25.txt,0.42
../scraping/offres\Cloud_Computing\Cloud Security_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_23.txt,0.2
../scraping/offres\Cloud_Computing\Cloud Security_job_1.txt,../scraping/cvs\others\others_cv_139.txt,0.2
../scraping/offres\Cloud_Computing\Cloud Security_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_39.txt,0.2
../scraping/offres\Cloud_Computing\Cloud Security_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_85.txt,0.12
../scraping/offres\Cloud_Computing\DevOps_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_24.txt,0.42
../scraping/offres\Cloud_Computing\DevOps_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_1.txt,0.12
../scraping/offres\Cloud_Computing\DevOps_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_185.txt,0.12
../scraping/offres\Cloud_Computing\Docker_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_6.txt,0.2
../scraping/offres\Cloud_Computing\Docker_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_62.txt,0.2
../scraping/offres\Cloud_Computing\Docker_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_30.txt,0.05
../scraping/offres\Cloud_Computing\Docker_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_4.txt,0.2
../scraping/offres\Cloud_Computing\Kubernetes_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_6.txt,0.42
../scraping/offres\Cloud_Computing\Kubernetes_job_1.txt,../scraping/cvs\others\others_cv_20.txt,0.05
../scraping/offres\Cloud_Computing\Serverless_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_25.txt,0.25
../scraping/offres\Cloud_Computing\Serverless_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_69.txt,0.2
../scraping/offres\Cloud_Computing\Serverless_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_222.txt,0.2
../scraping/offres\Cloud_Computing\Terraform_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_37.txt,0.2
../scraping/offres\Cloud_Computing\Terraform_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_16.txt,0.2
../scraping/offres\Cloud_Computing\Terraform_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_161.txt,0.2
../scraping/offres\Cloud_Computing\Terraform_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_78.txt,0.2
../scraping/offres\Cloud_Computing\Terraform_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_278.txt,0.2
../scraping/offres\Cybersecurity\Cryptography_job_1.txt,../scraping/cvs\Cybersecurity\Cybersecurity_cv_20.txt,0.02
../scraping/offres\Cybersecurity\Cryptography_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_258.txt,0.05
../scraping/offres\Cybersecurity\Cryptography_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_119.txt,0.12
../scraping/offres\Cybersecurity\Firewall_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_141.txt,0.12
../scraping/offres\Cybersecurity\Firewall_job_1.txt,../scraping/cvs\others\others_cv_313.txt,0.42
../scraping/offres\Cybersecurity\Malware_job_1.txt,../scraping/cvs\Cybersecurity\Cybersecurity_cv_25.txt,0.12
../scraping/offres\Cybersecurity\Malware_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_17.txt,0.2
../scraping/offres\Cybersecurity\Malware_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_143.txt,0.3
../scraping/offres\Cybersecurity\Network Defense_job_1.txt,../scraping/cvs\Cybersecurity\Cybersecurity_cv_4.txt,0.42
../scraping/offres\Cybersecurity\Network Defense_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_13.txt,0.12
../scraping/offres\Cybersecurity\Penetration Testing_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_61.txt,0.42
../scraping/offres\Cybersecurity\Penetration Testing_job_1.txt,../scraping/cvs\others\others_cv_9.txt,0.12
../scraping/offres\Cybersecurity\Ransomware_job_1.txt,../scraping/cvs\Web_Development\Web_Development_cv_14.txt,0.2
../scraping/offres\Cybersecurity\Security Operations Center_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_80.txt,0.05
../scraping/offres\Cybersecurity\SIEM_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_111.txt,0.23
../scraping/offres\Cybersecurity\SIEM_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_85.txt,0.25
../scraping/offres\Cybersecurity\SIEM_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_145.txt,0.42
../scraping/offres\Cybersecurity\Vulnerability Assessment_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_3.txt,0.2
../scraping/offres\Cybersecurity\Vulnerability Assessment_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_40.txt,0.25
../scraping/offres\Database_Administration\Data Backup_job_1.txt,../scraping/cvs\others\others_cv_108.txt,0.35
../scraping/offres\Database_Administration\Data Migration_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_22.txt,0.35
../scraping/offres\Database_Administration\Data Migration_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_152.txt,0.15
../scraping/offres\Database_Administration\Data Migration_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_56.txt,0.42
../scraping/offres\Database_Administration\Data Recovery_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_16.txt,0.2
../scraping/offres\Database_Administration\Data Recovery_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_263.txt,0.42
../scraping/offres\Database_Administration\Data Recovery_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_140.txt,0.25
../scraping/offres\Database_Administration\Database Administration_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_22.txt,0.62
../scraping/offres\Database_Administration\Database Administration_job_1.txt,../scraping/cvs\others\others_cv_300.txt,0.12
../scraping/offres\Database_Administration\Database Administration_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_52.txt,0.12
../scraping/offres\Database_Administration\Database Administration_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_77.txt,0.15
../scraping/offres\Database_Administration\Database Design_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_30.txt,0.42
../scraping/offres\Database_Administration\Database Design_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_170.txt,0.42
../scraping/offres\Database_Administration\Database Design_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_28.txt,0.25
../scraping/offres\Database_Administration\Database Design_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_38.txt,0.32
../scraping/offres\Database_Administration\Database Performance Tuning_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_36.txt,0.15
../scraping/offres\Database_Administration\Database Security_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_285.txt,0.15
../scraping/offres\Database_Administration\MongoDB_job_1.txt,../scraping/cvs\others\others_cv_61.txt,0.2
../scraping/offres\Database_Administration\MongoDB_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_55.txt,0.42
../scraping/offres\Database_Administration\MongoDB_job_1.txt,../scraping/cvs\Blockchain\Blockchain_cv_13.txt,0.2
../scraping/offres\Database_Administration\MySQL_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_28.txt,0.42
../scraping/offres\Database_Administration\MySQL_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_31.txt,0.42
../scraping/offres\Database_Administration\MySQL_job_1.txt,../scraping/cvs\others\others_cv_206.txt,0.12
../scraping/offres\Database_Administration\NoSQL_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_66.txt,0.42
../scraping/offres\Database_Administration\NoSQL_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_78.txt,0.42
../scraping/offres\Database_Administration\Oracle_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_45.txt,0.12
../scraping/offres\Database_Administration\Oracle_job_1.txt,../scraping/cvs\Database_Administration\Database_Administration_cv_22.txt,0.42
../scraping/offres\Database_Administration\PostgreSQL_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_147.txt,0.05
../scraping/offres\Database_Administration\SQL_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_209.txt,0.42
../scraping/offres\Database_Administration\SQL_job_1.txt,../scraping/cvs\others\others_cv_105.txt,0.2
../scraping/offres\Database_Administration\SQL_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_268.txt,0.2
../scraping/offres\Data_Engineering\Apache Spark_job_1.txt,../scraping/cvs\machine_learning\cv_ml_10.txt,0.12
../scraping/offres\Data_Engineering\Big Data_job_1.txt,../scraping/cvs\others\others_cv_278.txt,0.2
../scraping/offres\Data_Engineering\Data Lakes_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_22.txt,0.42
../scraping/offres\Data_Engineering\Data Lakes_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_39.txt,0.42
../scraping/offres\Data_Engineering\Data Lakes_job_1.txt,../scraping/cvs\others\others_cv_68.txt,0.2
../scraping/offres\Data_Engineering\Data Pipeline_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_48.txt,0.72
../scraping/offres\Data_Engineering\Data Pipeline_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_23.txt,0.42
../scraping/offres\Data_Engineering\Data Pipeline_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_65.txt,0.2
../scraping/offres\Data_Engineering\Data Pipeline_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_131.txt,0.2
../scraping/offres\Data_Engineering\Data Warehousing_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_37.txt,0.2
../scraping/offres\Data_Engineering\Data Warehousing_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_76.txt,0.65
../scraping/offres\Data_Engineering\Data Warehousing_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_6.txt,0.2
../scraping/offres\Data_Engineering\Data Warehousing_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_46.txt,0.2
../scraping/offres\Data_Engineering\ETL_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_6.txt,0.42
../scraping/offres\Data_Engineering\Kafka_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_60.txt,0.2
../scraping/offres\Data_Engineering\SQL_job_1.txt,../scraping/cvs\others\others_cv_247.txt,0.12
../scraping/offres\Data_Engineering\SQL_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_96.txt,0.12
../scraping/offres\Data_Science\AI_job_1.txt,../scraping/cvs\others\others_cv_222.txt,0.12
../scraping/offres\Data_Science\Data Analyst_job_1.txt,../scraping/cvs\others\others_cv_313.txt,0.3
../scraping/offres\Data_Science\Data Analyst_job_1.txt,../scraping/cvs\others\others_cv_90.txt,0.1
../scraping/offres\Data_Science\Data Engineer_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_68.txt,0.42
../scraping/offres\Data_Science\Data Engineer_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_88.txt,0.25
../scraping/offres\Data_Science\Data Engineer_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_9.txt,0.42
../scraping/offres\Data_Science\Data Engineer_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_118.txt,0.12
../scraping/offres\Data_Science\Data Engineer_job_1.txt,../scraping/cvs\DevOps\DevOps_cv_90.txt,0.2
../scraping/offres\Data_Science\Deep Learning_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_9.txt,0.12
../scraping/offres\Data_Science\Deep Learning_job_1.txt,../scraping/cvs\others\others_cv_247.txt,0.12
../scraping/offres\Data_Science\Machine Learning_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_138.txt,0.12
../scraping/offres\AI_and_ML\Reinforcement Learning_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_191.txt,0.12
../scraping/offres\AI_and_ML\Supervised Learning_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_18.txt,0.05
../scraping/offres\AI_and_ML\TensorFlow_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_83.txt,0.12
../scraping/offres\AI_and_ML\TensorFlow_job_1.txt,../scraping/cvs\AI_and_ML\AI_and_ML_cv_17.txt,0.12
../scraping/offres\AI_and_ML\TensorFlow_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_2.txt,0.12
../scraping/offres\AI_and_ML\TensorFlow_job_1.txt,../scraping/cvs\others\others_cv_301.txt,0.05
../scraping/offres\AI_and_ML\TensorFlow_job_1.txt,../scraping/cvs\Cloud_Computing\Cloud_Computing_cv_32.txt,0.12
../scraping/offres\AI_and_ML\Unsupervised Learning_job_1.txt,../scraping/cvs\Data_Engineering\Data_Engineering_cv_38.txt,0.2
../scraping/offres\Blockchain\Bitcoin_job_1.txt,../scraping/cvs\Software_Development\Software_Development_cv_238.txt,0.2
../scraping/offres\Blockchain\DeFi_job_1.txt,../scraping/cvs\Data_Science\Data_Science_cv_127.txt,0.2
../scraping/offres\Blockchain\DeFi_job_1.txt,../scraping/cvs\others\others_cv_46.txt,0.05
